frame,matches,corr_3d2d,inliers,success,pnp_success,pnp_inliers,t_norm,rot_angle,reproj_rmse
254,200,190,168,True,True,168,0.053933718404803,2.2769970626004437,0.7992060289699102
255,200,191,179,True,True,179,0.04872654761809818,1.4512837880899552,0.6691741551396918
256,200,190,170,True,True,170,0.04750020776483295,1.676928733239902,0.7712387480689183
257,200,182,156,True,True,156,0.04636897909028591,1.7644434394899398,0.625196479303023
258,200,178,167,True,True,167,0.04439886679309792,1.7194278781260945,0.6965327893426875
259,200,180,167,True,True,167,0.04770343347563632,1.5023202225375718,0.647914774320279
260,200,178,156,True,True,156,0.04477675450467986,1.503432467799462,0.7882170938494656
261,200,174,152,True,True,152,0.05242026947123782,2.1643099681708056,0.7490506711307189
262,200,182,165,True,True,165,0.04741703461383448,3.301690002968568,0.7444478323707109
263,200,180,151,True,True,151,0.053832482761126045,4.151140478028104,0.7172651518361602
264,200,173,168,True,True,168,0.0522033177444205,5.08643018790277,0.7821994043093691
265,200,174,158,True,True,158,0.053628281931642825,6.208243530536882,0.9154206560698074
266,200,160,138,True,True,138,0.050129075581215224,6.9156673083711135,0.8858298670003719
267,200,149,140,True,True,140,0.04237642987966075,7.408479320298655,0.7916202994036264
268,200,168,148,True,True,148,0.039956985408631567,7.125495624569315,0.8093122117013375
269,200,174,159,True,True,159,0.038491614961814004,6.183175280362257,0.7475462056270846
270,200,184,154,True,True,154,0.023608974469208902,5.713241831290953,0.672812628618061
271,200,193,165,True,True,165,0.028466435475340907,5.614639450993085,0.8067547313346929
272,200,196,165,True,True,165,0.02605459475590392,5.170181158412501,0.8002491365593228
273,200,198,164,True,True,164,0.030329566578759196,4.860326732459496,0.9158861357794131
274,200,199,161,True,True,161,0.026980853499422773,4.252922318599183,0.8703621643287046
275,200,197,173,True,True,173,0.02265997865113688,3.883408062136588,0.8408799199495451
276,200,195,173,True,True,173,0.032045154534002356,4.190633487769747,0.8280589937127523
277,200,194,153,True,True,153,0.03240470790186364,4.658095607914072,0.9462367720713879
278,200,195,152,True,True,152,0.033907904004871675,5.928882224364217,0.9714223912412817
279,200,197,144,True,True,144,0.032046430643243216,6.450776968159747,0.8630925645348808
280,200,198,176,True,True,176,0.04029007966827217,6.187488763695135,0.9018326397669987
281,200,200,172,True,True,172,0.03333117601768195,5.853853248411886,0.8601225001218938
282,200,184,156,True,True,156,0.01859692038716935,5.745767007888834,0.8523368235813296
283,200,181,164,True,True,164,0.03487653369575009,5.699244616064952,0.8117120582550206
284,200,184,161,True,True,161,0.022709867975785874,5.474225153366446,0.7502920458828775
285,200,160,137,True,True,137,0.023786731038766554,5.345549600566539,0.8855145571549544
286,200,156,135,True,True,135,0.02832578570294328,5.506998393018826,0.8720052590684686
287,200,156,138,True,True,138,0.03108119074124378,5.729278354832114,0.8892377237108129
288,200,159,137,True,True,137,0.015500920479651823,5.684707460261516,0.845925109957805
289,200,163,146,True,True,146,0.010652250178925588,5.785608979227427,0.8732254604983964
290,200,172,144,True,True,144,0.02219217961604664,6.376591881880353,0.843560321280047
291,200,196,156,True,True,156,0.020958604948033033,6.585634146988517,0.8926208309373366
292,200,196,166,True,True,166,0.021191598045716787,7.142131761257449,0.9181418927802634
293,200,197,167,True,True,167,0.017819779486763627,7.656705545725505,0.9451518747914257
294,200,198,163,True,True,163,0.021690734545597935,7.729286732489908,0.9533420311878082
295,200,199,169,True,True,169,0.01983135416475275,7.591627584801925,0.8620109557007872
296,200,194,162,True,True,162,0.017891419043967523,6.965422888284996,0.9294600766928708
297,200,184,162,True,True,162,0.011954816934966311,6.884655435134624,0.8252173761200191
298,200,162,133,True,True,133,0.01797223645568961,6.962422023177349,0.8070152761133432
299,200,150,119,True,True,119,0.0160899423055537,7.10461033171384,0.8466094317818609
300,200,151,141,True,True,141,0.010785265166589899,6.916260581300925,0.817331939814934
301,200,169,144,True,True,144,0.016455493466530663,7.2021135377506225,0.8272311066178493
302,200,179,163,True,True,163,0.01122014760655583,6.9351279429604595,0.8254083582028334
303,200,164,144,True,True,144,0.014763400153558592,6.104815463825954,0.8512001954552665
304,200,175,160,True,True,160,0.011799673231061878,6.180192625036498,0.7651458818324471
305,200,169,152,True,True,152,0.015180762191916405,5.765665455038462,0.7710508154138942
306,200,168,152,True,True,152,0.01982297797170991,5.56888245644775,0.8251763124549242
307,200,152,136,True,True,136,0.02904562622514495,5.427726769267632,0.8882602956084518
308,200,166,136,True,True,136,0.037687326694241526,5.111018250809965,0.9233908523925425
309,200,175,135,True,True,135,0.05506598795834129,5.606883263827747,0.906091641570375
310,200,197,147,True,True,147,0.043760472101795386,6.358104366930256,0.8471818907997993
311,200,200,143,True,True,143,0.04430002623893442,6.507889087549192,0.9290837528417223
